book_id,goodreads_book_id,title,authors,original_publication_year,tags
11,77203,The Kite Runner,Khaled Hosseini,2003.0,to-read favorites currently-reading young-adult fiction books-i-own owned favourites owned-books re-read all-time-favorites default my-books classics i-own audiobook 5-stars favorite-books novels favorite audiobooks my-library english books read-in-2016 my-favorites own-it library audio novel faves read-in-2015 made-me-cry shelfari-favorites kindle favourite to-buy read-in-2014 ebook contemporary coming-of-age favs classic have read-in-2013 finished borrowed friendship rory-gilmore-reading-challenge adult book-club adult-fiction literature abandoned wish-list ebooks must-read unfinished recommended to-read-fiction history non-fiction historical war realistic-fiction school read-for-school for-school school-books general-fiction historical-fiction literary-fiction bookclub contemporary-fiction روايات literary drama family culture other high-school book-club-books book-group modern-fiction banned-books asia cultural stand-alone popular-fiction 2006 modern 21st-century book-club-reads contempor​ary middle-east islam multicultural international afghanistan khaled-hosseini
12,13335037,"Divergent (Divergent, #1)",Veronica Roth,2011.0,to-read fantasy favorites currently-reading young-adult fiction books-i-own owned ya series favourites owned-books re-read adventure sci-fi-fantasy all-time-favorites default my-books reread i-own audiobook 5-stars favorite-books novels fantasy-sci-fi favorite audiobooks my-library ya-fantasy teen english books ya-fiction my-favorites own-it library audio young-adult-fiction faves favorite-series read-in-2015 kindle romance favourite to-buy read-in-2014 ebook read-in-english coming-of-age favourite-books on-my-shelf my-bookshelf favs action read-in-2013 read-in-2011 finished ya-books borrowed sci-fi ya-lit science-fiction scifi book-club audible ebooks action-adventure e-books e-book thriller dystopia dystopian 4-stars love book-to-movie read-in-2012 want-to-read post-apocalyptic futuristic dystopias distopian distopia teen-fiction 2014-books loved read-2012 first-in-series ya-dystopia trilogy read-2013 dystopian-fiction 2012-reads future read-2014 reviewed 2013-reads 2014-reads ya-dystopian divergent veronica-roth
13,5470,1984,"George Orwell, Erich Fromm, Celâl Üster",1949.0,to-read fantasy currently-reading young-adult fiction books-i-own favourites owned-books re-read sci-fi-fantasy all-time-favorites default my-books reread i-own audiobook 5-stars favorite-books novels fantasy-sci-fi favorite audiobooks my-library english british books read-in-2016 own-it library audio novel scifi-fantasy read-in-2015 kindle favourite to-buy read-in-2014 to-re-read ebook read-in-english read-in-2017 england classic british-literature read-again sci-fi rory-gilmore-reading-challenge science-fiction scifi sf adult 1001-books book-club adult-fiction satire 1001 literature speculative-fiction 20th-century abandoned 1001-books-to-read-before-you-die wish-list ebooks modern-classics must-read unfinished to-reread on-hold philosophy classic-literature english-literature school read-for-school for-school school-books general-fiction literary-fiction classics-to-read classic-fiction to-read-classics classic-lit روايات literary rory-gilmore-challenge to-read-again horror politics dystopia dystopian political high-school clàssics banned-books social-commentary futuristic dystopias distopia dystopian-fiction Ｆａｖｏｒｉｔｅｓ george-orwell
14,7613,Animal Farm,George Orwell,1945.0,to-read fantasy favorites young-adult fiction books-i-own owned ya favourites owned-books re-read sci-fi-fantasy all-time-favorites default my-books classics reread i-own audiobook 5-stars favorite-books novels favorite audiobooks my-library english british books read-in-2016 library audio novel read-in-2015 kindle to-buy read-in-2014 to-re-read ebook read-in-english read-in-2017 classic british-literature read-in-2013 finished borrowed sci-fi science-fiction adult 1001-books book-club adult-fiction satire 1001 literature 20th-century 1001-books-to-read-before-you-die wish-list ebooks modern-classics must-read to-reread history historical philosophy classic-literature english-literature school read-for-school for-school school-books read-in-school school-reads general-fiction historical-fiction literary-fiction classics-to-read classic-fiction to-read-classics classic-lit the-classics روايات literary lit drama politics dystopia dystopian political high-school clàssics banned-books school-reading novella required-reading animals social-commentary george-orwell allegory communism orwell
15,48855,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,to-read young-adult fiction owned ya favourites childrens owned-books re-read children children-s childhood all-time-favorites default my-books classics i-own 5-stars children-s-books favorite-books novels my-library teen own-it library kindle to-buy to-re-read childhood-favorites coming-of-age childhood-books classic finished borrowed middle-school rory-gilmore-reading-challenge adult literature 20th-century wish-list modern-classics must-read history nonfiction non-fiction historical memoir memoirs biography autobiography europe classic-literature war school read-for-school for-school school-books read-in-school school-reads historical-fiction german classics-to-read translated drama rory-gilmore-challenge rory-gilmore germany other high-school jewish wwii inspirational clàssics banned-books school-reading required-reading women historical-non-fiction biographies biography-memoir world-war-ii ww2 memoir-biography world-war-2 holocaust biographies-memoirs biography-autobiography biographical autobiography-memoir bio bio-memoir true-story female-authors netherlands auto-biography diary anne-frank dutch diaries autobiographies
16,2429135,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",2005.0,to-read favorites currently-reading fiction books-i-own owned series favourites owned-books adventure all-time-favorites default my-books i-own audiobook 5-stars favorite-books novels favorite audiobooks my-library english books mystery my-favorites own-it library audio novel read-in-2015 shelfari-favorites kindle to-buy ebook contemporary have audio-books action movie read-in-2011 finished borrowed adult book-club adult-fiction literature abandoned wish-list audible ebooks audio-book unfinished did-not-finish dnf didn-t-finish europe movies paperback gave-up-on realistic-fiction general-fiction bookclub contemporary-fiction translated couldn-t-finish drama translation crime thriller suspense murder dark mystery-thriller detective book-club-books modern-fiction mysteries mystery-suspense thrillers suspense-thriller crime-mystery crime-thriller thriller-mystery mystery-crime thriller-suspense murder-mystery 21st-century crime-fiction read-in-2012 nook abuse read-in-2010 read-2011 swedish scandinavian sweden scandinavia read-2010 stieg-larsson millennium
17,6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009.0,to-read fantasy currently-reading young-adult fiction books-i-own owned ya series favourites adventure sci-fi-fantasy all-time-favorites default my-books reread i-own audiobook 5-stars favorite-books novels fantasy-sci-fi favorite audiobooks read-more-than-once my-library ya-fantasy teen english re-reads ya-fiction my-favorites own-it library audio young-adult-fiction novel scifi-fantasy faves favorite-series shelfari-favorites kindle romance favourite to-buy read-in-2014 ebook contemporary read-in-english favourite-books on-my-shelf my-bookshelf favs audio-books action read-in-2013 read-in-2011 finished ya-books borrowed sci-fi ya-lit science-fiction scifi sf book-club speculative-fiction ebooks survival action-adventure e-books e-book thriller suspense dystopia dystopian 4-stars love book-to-movie read-in-2012 nook post-apocalyptic futuristic dystopias distopian distopia teen-fiction loved read-2012 trilogy read-in-2010 read-2013 dystopian-fiction 2012-reads future read-2011 ya-dystopian suzanne-collins hunger-games the-hunger-games
18,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,to-read fantasy favorites currently-reading young-adult fiction harry-potter books-i-own owned ya series favourites magic childrens owned-books re-read adventure children j-k-rowling children-s sci-fi-fantasy childhood all-time-favorites default my-books classics reread i-own audiobook 5-stars children-s-books favorite-books kids novels fantasy-sci-fi favorite middle-grade audiobooks paranormal read-more-than-once my-library ya-fantasy teen witches english urban-fantasy british jk-rowling books read-in-2016 supernatural re-reads mystery ya-fiction harry-potter-series my-favorites own-it childrens-books library audio young-adult-fiction novel scifi-fantasy wizards faves favorite-series read-in-2015 juvenile shelfari-favorites kindle youth favourite to-buy read-in-2014 to-re-read all-time-favourites childhood-favorites kids-books ebook rereads contemporary read-in-english 5-star science-fiction-fantasy read-in-2017 england children-s-literature favourite-books on-my-shelf my-bookshelf children-s-lit bookshelf favs childhood-books audio-books read-in-2013 read-2016 friendship time-travel werewolves
19,34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954.0,to-read fantasy favorites currently-reading young-adult fiction books-i-own owned ya series favourites magic owned-books re-read adventure sci-fi-fantasy childhood all-time-favorites default my-books classics reread i-own audiobook 5-stars favorite-books novels favorite audiobooks read-more-than-once my-library english british books read-in-2016 re-reads my-favorites own-it library audio novel read-in-2015 shelfari-favorites kindle favourite to-buy read-in-2014 to-re-read ebook science-fiction-fantasy on-my-shelf my-bookshelf bookshelf fantasy-scifi classic have movie british-literature fantasy-fiction sci-fi fiction-fantasy fantasia séries rory-gilmore-reading-challenge science-fiction adult 1001-books adult-fiction 1001 literature sci-fi-and-fantasy speculative-fiction 20th-century abandoned audible ebooks sf-fantasy modern-classics unfinished dnf on-hold epic-fantasy tolkien high-fantasy epic j-r-r-tolkien middle-earth classic-literature lord-of-the-rings home-library fantasy-science-fiction fantasy-and-sci-fi movies war paperback lotr fantasía elves tbr the-lord-of-the-rings
20,7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010.0,to-read fantasy favorites currently-reading young-adult fiction books-i-own owned ya series favourites owned-books re-read adventure sci-fi-fantasy all-time-favorites default my-books reread i-own audiobook 5-stars favorite-books novels fantasy-sci-fi favorite audiobooks my-library ya-fantasy teen english books ya-fiction my-favorites own-it library audio young-adult-fiction novel scifi-fantasy faves favorite-series read-in-2015 made-me-cry shelfari-favorites kindle romance to-buy read-in-2014 ebook read-in-english coming-of-age on-my-shelf action read-in-2013 read-in-2011 finished ya-books borrowed sci-fi ya-lit séries science-fiction scifi book-club speculative-fiction ebooks war survival action-adventure e-books e-book thriller suspense dystopia dystopian 4-stars love read-in-2012 post-apocalyptic futuristic dystopias distopian distopia teen-fiction read-2012 trilogy read-in-2010 dystopian-fiction 2012-reads future read-2014 read-2011 ya-dystopian finished-series love-triangle suzanne-collins hunger-games the-hunger-games hunger-games-series
21,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003.0,to-read fantasy favorites currently-reading young-adult fiction harry-potter books-i-own owned ya favourites magic owned-books re-read children children-s all-time-favorites default audiobook kids novels fantasy-sci-fi favorite audiobooks paranormal my-library ya-fantasy teen witches urban-fantasy british jk-rowling supernatural re-reads mystery ya-fiction harry-potter-series my-favorites own-it childrens-books library audio young-adult-fiction novel scifi-fantasy wizards faves favorite-series juvenile shelfari-favorites kindle youth romance favourite read-in-2014 all-time-favourites childhood-favorites kids-books 5-star coming-of-age science-fiction-fantasy read-in-2017 england children-s-literature children-s-lit magical favs childhood-books potter fantasy-scifi hp classic 2003 boarding-school have audio-books action movie british-literature read-in-2013 fantasy-fiction rowling read-in-2011 read-multiple-times juvenile-fiction finished young-adult-fantasy read-again ya-books borrowed sci-fi fiction-fantasy childrens-lit female-author fantasia children-young-adult books-i-have mine ya-lit middle-school
22,12232938,The Lovely Bones,Alice Sebold,2002.0,to-read fantasy favorites currently-reading young-adult fiction books-i-own owned ya favourites owned-books re-read all-time-favorites default my-books classics i-own audiobook favorite-books novels favorite audiobooks paranormal my-library books supernatural mystery own-it library audio novel made-me-cry shelfari-favorites kindle romance to-buy ebook contemporary coming-of-age on-my-shelf have movie finished borrowed rory-gilmore-reading-challenge adult book-club adult-fiction literature abandoned wish-list ebooks unfinished did-not-finish dnf didn-t-finish movies realistic-fiction general-fiction literary-fiction bookclub contemporary-fiction american literary drama rory-gilmore-challenge magical-realism family horror crime thriller suspense murder dark mystery-thriller other high-school book-club-books book-group modern-fiction mysteries mystery-suspense chick-lit stand-alone book-to-movie crime-mystery murder-mystery modern ghosts death female-authors sad afterlife books-to-movies read-in-2010 grief tear-jerker on-my-bookshelf rape alice-sebold
23,15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",1998.0,to-read fantasy favorites currently-reading young-adult fiction harry-potter books-i-own owned ya series favourites magic childrens owned-books re-read adventure children j-k-rowling children-s sci-fi-fantasy childhood all-time-favorites default my-books classics reread i-own audiobook 5-stars children-s-books favorite-books kids novels fantasy-sci-fi favorite middle-grade audiobooks paranormal read-more-than-once my-library ya-fantasy teen witches english urban-fantasy british jk-rowling books read-in-2016 supernatural re-reads mystery ya-fiction harry-potter-series my-favorites own-it childrens-books library audio young-adult-fiction novel scifi-fantasy wizards faves favorite-series read-in-2015 juvenile shelfari-favorites kindle youth favourite to-buy read-in-2014 to-re-read all-time-favourites childhood-favorites kids-books ebook rereads contemporary read-in-english science-fiction-fantasy read-in-2017 england children-s-literature on-my-shelf my-bookshelf children-s-lit bookshelf childhood-books potter fantasy-scifi classic audio-books read-in-2013 re-reading read-2016 friendship read-2015
24,6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000.0,to-read fantasy young-adult fiction harry-potter owned ya series favourites childrens owned-books re-read adventure children j-k-rowling children-s sci-fi-fantasy all-time-favorites default my-books classics reread i-own audiobook 5-stars children-s-books favorite-books kids novels fantasy-sci-fi favorite middle-grade audiobooks paranormal read-more-than-once my-library ya-fantasy teen witches english urban-fantasy british jk-rowling books read-in-2016 supernatural re-reads mystery ya-fiction harry-potter-series my-favorites own-it childrens-books library audio young-adult-fiction novel scifi-fantasy wizards faves favorite-series read-in-2015 juvenile shelfari-favorites kindle youth favourite to-buy read-in-2014 to-re-read all-time-favourites childhood-favorites kids-books ebook rereads contemporary read-in-english 5-star coming-of-age science-fiction-fantasy read-in-2017 england children-s-literature favourite-books on-my-shelf my-bookshelf children-s-lit bookshelf favs childhood-books potter fantasy-scifi classic audio-books read-in-2013 read-2016 friendship dragons séries rory-gilmore-reading-challenge
25,136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",2007.0,to-read fantasy favorites young-adult fiction harry-potter books-i-own owned ya series favourites magic childrens owned-books re-read adventure children j-k-rowling children-s sci-fi-fantasy childhood all-time-favorites default classics reread i-own audiobook 5-stars children-s-books favorite-books kids novels fantasy-sci-fi favorite middle-grade audiobooks paranormal read-more-than-once my-library ya-fantasy teen witches english urban-fantasy british jk-rowling books read-in-2016 supernatural re-reads mystery ya-fiction harry-potter-series my-favorites own-it childrens-books library audio young-adult-fiction novel scifi-fantasy wizards faves favorite-series read-in-2015 made-me-cry juvenile shelfari-favorites kindle youth romance favourite to-buy read-in-2014 to-re-read all-time-favourites childhood-favorites kids-books ebook rereads contemporary read-in-english 5-star coming-of-age science-fiction-fantasy read-in-2017 england children-s-literature favourite-books on-my-shelf my-bookshelf children-s-lit bookshelf favs potter classic read-in-2011 friendship dragons to-reread
26,968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003.0,to-read fantasy favorites currently-reading fiction books-i-own owned series favourites owned-books re-read adventure all-time-favorites default my-books classics i-own audiobook 5-stars favorite-books novels favorite audiobooks my-library english books mystery my-favorites own-it library audio novel 2005 shelfari-favorites kindle romance to-buy ebook contemporary my-bookshelf bookshelf have action movie finished borrowed rory-gilmore-reading-challenge science-fiction adult book-club adult-fiction literature abandoned ebooks history historical home-library movies realistic-fiction action-adventure general-fiction historical-fiction art contemporary-fiction american american-literature france روايات drama rory-gilmore-challenge rory-gilmore thriller suspense mystery-thriller religion detective other modern-fiction mysteries mystery-suspense book-to-movie popular-fiction 2006 dan-brown thrillers conspiracy suspense-thriller robert-langdon crime-mystery thriller-mystery brown-dan mystery-crime thriller-suspense brown religious mystery-thrillers read-fiction 2004 21st-century crime-fiction
27,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2005.0,to-read fantasy favorites currently-reading young-adult fiction harry-potter books-i-own owned ya series favourites magic childrens owned-books re-read adventure children j-k-rowling children-s sci-fi-fantasy childhood all-time-favorites default my-books classics reread i-own audiobook 5-stars children-s-books favorite-books kids novels fantasy-sci-fi favorite middle-grade audiobooks paranormal read-more-than-once my-library ya-fantasy teen witches english urban-fantasy british jk-rowling books read-in-2016 supernatural re-reads mystery ya-fiction harry-potter-series my-favorites own-it childrens-books library audio young-adult-fiction novel 2005 scifi-fantasy wizards faves favorite-series read-in-2015 made-me-cry juvenile shelfari-favorites kindle youth romance favourite to-buy read-in-2014 to-re-read all-time-favourites childhood-favorites kids-books ebook rereads contemporary read-in-english 5-star coming-of-age science-fiction-fantasy read-in-2017 england children-s-literature favourite-books on-my-shelf my-bookshelf children-s-lit bookshelf magical favs childhood-books potter
28,7624,Lord of the Flies,William Golding,1954.0,to-read fantasy favorites currently-reading young-adult fiction books-i-own owned ya favourites childrens owned-books re-read adventure children childhood all-time-favorites default my-books classics reread i-own audiobook favorite-books novels audiobooks my-library teen english british books read-in-2016 own-it library novel read-in-2015 kindle to-buy read-in-2014 to-re-read ebook contemporary read-in-english coming-of-age classic british-literature read-again borrowed sci-fi rory-gilmore-reading-challenge science-fiction adult 1001-books book-club adult-fiction 1001 literature 20th-century abandoned 1001-books-to-read-before-you-die wish-list modern-classics must-read unfinished to-reread philosophy classic-literature english-literature survival realistic-fiction school read-for-school for-school school-books read-in-school school-reads general-fiction historical-fiction literary-fiction classics-to-read classic-fiction to-read-classics classic-lit the-classics literary lit drama horror thriller dark psychology dystopia dystopian other high-school banned-books school-reading required-reading read-in-high-school books-for-school
29,18135,Romeo and Juliet,"William Shakespeare, Robert           Jackson",1595.0,to-read favorites young-adult fiction books-i-own owned ya favourites owned-books re-read all-time-favorites default my-books classics reread i-own favorite-books novels read-more-than-once my-library english british books read-in-2016 own-it library read-in-2015 kindle romance to-buy read-in-english england classic british-literature finished borrowed rory-gilmore-reading-challenge adult adult-fiction literature ebooks historical classic-literature english-literature movies school read-for-school for-school school-books read-in-school school-reads general-fiction historical-fiction literary-fiction classics-to-read classic-fiction poetry my-ebooks classic-lit the-classics literary lit drama rory-gilmore-challenge rory-gilmore high-school clàssics italy school-reading required-reading read-in-high-school tragedy books-for-school classics-read 4-stars historical-romance stand-alone love 9th-grade plays shakespeare play theatre theater teatro william-shakespeare british-lit renaissance brit-lit assigned-reading death english-lit 16th-century romantic love-stories high-school-reads 3-stars books-i-read-for-school romeo-and-juliet read-classics
30,8442457,Gone Girl,Gillian Flynn,2012.0,to-read favorites currently-reading fiction books-i-own owned favourites owned-books all-time-favorites default my-books audiobook 5-stars novels favorite audiobooks my-library english books read-in-2016 mystery library audio read-in-2015 shelfari-favorites kindle romance to-buy ebook contemporary read-in-2017 my-bookshelf favs have finished books-i-have read-2016 read-2015 adult book-club adult-fiction abandoned audible audio-book dnf on-hold usa movies paperback realistic-fiction literary-fiction contemporary-fiction american-literature kindle-books couldn-t-finish family crime thriller suspense murder dark mystery-thriller book-group 4-stars mysteries mystery-suspense thrillers modern 21st-century marriage summer-reading want-to-read books-to-movies loved summer-2014 maybe mental-illness psychological 2016-reads 2015-reading-challenge bought creepy on-my-bookshelf mystery-thriller-horror psychological-thriller on-kindle adult-books listened-to for-fun gillian-flynn 2015-books mystery-thriller-suspense 2014-read dysfunctional-family gone-girl psychological-mystery sociopath 2015-challenge purchased recommend
